AdmitTerm,School,Program,NationalStatus,AdmissionPathway,Enrolled,Retained
Fall 2017,School C,LBR,INTERNATIONAL,Direct Entry,2,2

Fall 2017,School C,NOS,DOMESTIC,Direct Entry,17,15

Fall 2017,School C,NOS,DOMESTIC,Transfer,7,5

Fall 2017,School C,NOS,INTERNATIONAL,Direct Entry,4,4

Fall 2017,School C,UVZ,DOMESTIC,Direct Entry,28,24

Fall 2017,School C,UVZ,DOMESTIC,Transfer,15,12

Fall 2017,School C,UVZ,INTERNATIONAL,Direct Entry,3,1

Fall 2017,School C,YXQ,DOMESTIC,Direct Entry,31,28

Fall 2017,School C,YXQ,DOMESTIC,Foundation,16,14

Fall 2017,School C,YXQ,DOMESTIC,Transfer,4,2

Fall 2017,School C,YXQ,INTERNATIONAL,Direct Entry,2,2

Fall 2017,School C,YXQ,INTERNATIONAL,Transfer,1,0

Fall 2017,School D,CMX,DOMESTIC,Direct Entry,18,17

Fall 2017,School D,CMX,DOMESTIC,Transfer,8,7

Fall 2017,School D,HPA,DOMESTIC,Direct Entry,28,24

Fall 2017,School D,HPA,DOMESTIC,Transfer,11,8

Fall 2017,School D,IAU,DOMESTIC,Direct Entry,11,10

Fall 2017,School D,IAU,DOMESTIC,Transfer,5,4

Fall 2017,School D,JRA,DOMESTIC,Direct Entry,21,10

Fall 2017,School D,JRA,DOMESTIC,Transfer,8,4

Fall 2017,School D,JVH,DOMESTIC,Direct Entry,45,32

Fall 2017,School D,JVH,DOMESTIC,Transfer,31,21

Fall 2017,School D,JVH,INTERNATIONAL,Direct Entry,3,2

Fall 2017,School D,JVH,INTERNATIONAL,Transfer,3,2

Fall 2017,School D,KUY,DOMESTIC,Direct Entry,139,102

Fall 2017,School D,KUY,DOMESTIC,Transfer,40,28

Fall 2017,School D,LBW,DOMESTIC,Direct Entry,22,20

Fall 2017,School D,LBW,DOMESTIC,Transfer,7,5

Fall 2017,School D,LBW,INTERNATIONAL,Direct Entry,2,1

Fall 2017,School D,MFQ,DOMESTIC,Direct Entry,11,9

Fall 2017,School D,MFQ,DOMESTIC,Transfer,6,5

Fall 2017,School D,MFQ,INTERNATIONAL,Direct Entry,2,1

Fall 2017,School D,RFI,DOMESTIC,Direct Entry,11,9

Fall 2017,School D,RFI,DOMESTIC,Transfer,7,6

Fall 2017,School D,RFI,INTERNATIONAL,Direct Entry,1,1

Fall 2017,School D,RNV,DOMESTIC,Direct Entry,13,11

Fall 2017,School D,RNV,DOMESTIC,Transfer,5,4

Fall 2017,School D,THM,DOMESTIC,Direct Entry,27,24

Fall 2017,School D,THM,DOMESTIC,Transfer,10,9

Fall 2017,School D,UKS,DOMESTIC,Direct Entry,11,11

Fall 2017,School D,UKS,DOMESTIC,Transfer,5,4

Fall 2017,School D,XLL,DOMESTIC,Direct Entry,23,23

Fall 2017,School D,XLL,DOMESTIC,Transfer,7,6

Fall 2017,School D,ZCU,DOMESTIC,Direct Entry,11,11

Fall 2017,School D,ZCU,DOMESTIC,Foundation,4,4

Fall 2017,School D,ZCU,DOMESTIC,Transfer,1,0

Fall 2017,School D,ZCU,INTERNATIONAL,Direct Entry,1,1

Fall 2017,School E,EDB,DOMESTIC,Direct Entry,9,8

Fall 2017,School E,EDB,DOMESTIC,Foundation,6,6

Fall 2017,School E,EDB,DOMESTIC,Transfer,1,0

Fall 2017,School E,FCT,DOMESTIC,Direct Entry,11,10

Fall 2017,School E,FCT,DOMESTIC,Transfer,4,3

Fall 2017,School E,FCT,INTERNATIONAL,Direct Entry,1,1

Fall 2017,School E,LOC,DOMESTIC,Direct Entry,15,12

Fall 2017,School E,LOC,DOMESTIC,Transfer,7,5

Fall 2017,School E,LOC,INTERNATIONAL,Direct Entry,2,2

Fall 2017,School E,NGF,DOMESTIC,Direct Entry,42,36

Fall 2017,School E,NGF,DOMESTIC,Foundation,17,15

Fall 2017,School E,NGF,DOMESTIC,Transfer,3,1

Fall 2017,School E,NGF,INTERNATIONAL,Direct Entry,5,4

Fall 2017,School E,PEW,DOMESTIC,Direct Entry,38,35

Fall 2017,School E,PEW,DOMESTIC,Foundation,19,18

Fall 2017,School E,PEW,DOMESTIC,Transfer,5,3

Fall 2017,School E,PEW,INTERNATIONAL,Direct Entry,6,6

Fall 2017,School E,UQB,DOMESTIC,Direct Entry,14,11

Fall 2017,School E,UQB,DOMESTIC,Foundation,6,6

Fall 2017,School E,UQB,DOMESTIC,Transfer,1,0

Fall 2017,School F,EGJ,DOMESTIC,Direct Entry,23,21

Fall 2017,School F,EGJ,DOMESTIC,Transfer,9,8

Fall 2017,School F,KAU,DOMESTIC,Direct Entry,10,8

Fall 2017,School F,KAU,DOMESTIC,Transfer,7,6

Fall 2017,School F,KAU,INTERNATIONAL,Direct Entry,4,4

Fall 2017,School F,KOK,DOMESTIC,Direct Entry,14,12

Fall 2017,School F,KOK,INTERNATIONAL,Direct Entry,1,1

Fall 2017,School F,LNT,DOMESTIC,Direct Entry,13,9

Fall 2017,School F,LNT,DOMESTIC,Transfer,9,6

Fall 2017,School F,PFB,DOMESTIC,Direct Entry,128,105

Fall 2017,School F,PFB,DOMESTIC,Transfer,63,48

Fall 2017,School F,PFB,INTERNATIONAL,Direct Entry,16,15

Fall 2017,School F,PFB,INTERNATIONAL,Transfer,5,4

Fall 2017,School F,RZP,DOMESTIC,Direct Entry,29,24

Fall 2017,School F,RZP,DOMESTIC,Transfer,11,8

Fall 2017,School F,RZP,INTERNATIONAL,Direct Entry,4,4

Fall 2017,School F,SYW,DOMESTIC,Direct Entry,19,14

Fall 2017,School F,SYW,DOMESTIC,Transfer,9,6

Fall 2017,School F,SYW,INTERNATIONAL,Direct Entry,5,5

Fall 2017,School F,ZSW,DOMESTIC,Direct Entry,17,15

Fall 2017,School F,ZSW,DOMESTIC,Transfer,6,5

Fall 2017,School F,ZSW,INTERNATIONAL,Direct Entry,2,2

Fall 2017,School G,IWU,DOMESTIC,Direct Entry,12,11

Fall 2017,School G,IWU,DOMESTIC,Transfer,6,5

Fall 2017,School G,IWU,INTERNATIONAL,Direct Entry,2,2

Fall 2018,School A,CTD,DOMESTIC,Direct Entry,152,121

Fall 2018,School A,CTD,DOMESTIC,Foundation,39,32

Fall 2018,School A,CTD,DOMESTIC,Transfer,6,4

Fall 2018,School A,CTD,INTERNATIONAL,Direct Entry,15,11

Fall 2018,School A,CTD,INTERNATIONAL,Transfer,4,3

Fall 2018,School A,DIB,DOMESTIC,Direct Entry,11,8

Fall 2018,School A,DIB,DOMESTIC,Transfer,5,4

Fall 2018,School A,DIB,INTERNATIONAL,Direct Entry,12,10

Fall 2018,School A,DIB,INTERNATIONAL,Transfer,6,5

