AdmitTerm,School,Program,NationalStatus,AdmissionPathway,Enrolled,Retained
Fall 2018,School D,LBW,INTERNATIONAL,Direct Entry,3,3

Fall 2018,School D,MFQ,DOMESTIC,Direct Entry,11,10

Fall 2018,School D,MFQ,DOMESTIC,Transfer,6,5

Fall 2018,School D,MFQ,INTERNATIONAL,Direct Entry,1,1

Fall 2018,School D,RFI,DOMESTIC,Direct Entry,14,13

Fall 2018,School D,RFI,DOMESTIC,Transfer,8,7

Fall 2018,School D,RFI,INTERNATIONAL,Direct Entry,2,2

Fall 2018,School D,RNV,DOMESTIC,Direct Entry,11,11

Fall 2018,School D,RNV,DOMESTIC,Transfer,7,6

Fall 2018,School D,THM,DOMESTIC,Direct Entry,15,14

Fall 2018,School D,THM,DOMESTIC,Transfer,9,8

Fall 2018,School D,UKS,DOMESTIC,Direct Entry,9,9

Fall 2018,School D,XLL,DOMESTIC,Direct Entry,20,20

Fall 2018,School D,XLL,DOMESTIC,Transfer,7,6

Fall 2018,School D,ZCU,DOMESTIC,Direct Entry,11,10

Fall 2018,School D,ZCU,DOMESTIC,Foundation,5,5

Fall 2018,School D,ZCU,DOMESTIC,Transfer,1,0

Fall 2018,School D,ZCU,INTERNATIONAL,Direct Entry,2,2

Fall 2018,School E,EDB,DOMESTIC,Direct Entry,11,10

Fall 2018,School E,EDB,DOMESTIC,Transfer,6,5

Fall 2018,School E,FCT,DOMESTIC,Direct Entry,11,11

Fall 2018,School E,FCT,DOMESTIC,Transfer,7,6

Fall 2018,School E,FCT,INTERNATIONAL,Direct Entry,1,1

Fall 2018,School E,FCT,INTERNATIONAL,Transfer,1,0

Fall 2018,School E,LOC,DOMESTIC,Direct Entry,13,10

Fall 2018,School E,LOC,DOMESTIC,Transfer,8,7

Fall 2018,School E,LOC,INTERNATIONAL,Direct Entry,2,2

Fall 2018,School E,LOC,INTERNATIONAL,Transfer,1,0

Fall 2018,School E,NGF,DOMESTIC,Direct Entry,48,41

Fall 2018,School E,NGF,DOMESTIC,Transfer,13,10

Fall 2018,School E,NGF,INTERNATIONAL,Direct Entry,4,3

Fall 2018,School E,NGF,INTERNATIONAL,Transfer,3,2

Fall 2018,School E,PEW,DOMESTIC,Direct Entry,35,29

Fall 2018,School E,PEW,DOMESTIC,Transfer,13,11

Fall 2018,School E,PEW,INTERNATIONAL,Direct Entry,12,11

Fall 2018,School E,UQB,DOMESTIC,Direct Entry,18,16

Fall 2018,School E,UQB,DOMESTIC,Transfer,6,5

Fall 2018,School E,UQB,INTERNATIONAL,Direct Entry,1,1

Fall 2018,School F,EGJ,DOMESTIC,Direct Entry,19,15

Fall 2018,School F,EGJ,DOMESTIC,Transfer,12,10

Fall 2018,School F,EGJ,INTERNATIONAL,Direct Entry,1,1

Fall 2018,School F,KAU,DOMESTIC,Direct Entry,10,6

Fall 2018,School F,KAU,INTERNATIONAL,Direct Entry,3,3

Fall 2018,School F,KOK,DOMESTIC,Direct Entry,11,8

Fall 2018,School F,KOK,DOMESTIC,Transfer,4,3

Fall 2018,School F,KOK,INTERNATIONAL,Direct Entry,2,2

Fall 2018,School F,LNT,DOMESTIC,Direct Entry,15,11

Fall 2018,School F,LNT,DOMESTIC,Transfer,8,6

Fall 2018,School F,PFB,DOMESTIC,Direct Entry,147,127

Fall 2018,School F,PFB,DOMESTIC,Transfer,92,80

Fall 2018,School F,PFB,INTERNATIONAL,Direct Entry,10,7

Fall 2018,School F,PFB,INTERNATIONAL,Transfer,7,6

Fall 2018,School F,RZP,DOMESTIC,Direct Entry,38,33

Fall 2018,School F,RZP,DOMESTIC,Foundation,12,11

Fall 2018,School F,RZP,DOMESTIC,Transfer,2,1

Fall 2018,School F,RZP,INTERNATIONAL,Direct Entry,10,10

Fall 2018,School F,SYW,DOMESTIC,Direct Entry,25,22

Fall 2018,School F,SYW,DOMESTIC,Foundation,7,7

Fall 2018,School F,SYW,DOMESTIC,Transfer,2,1

Fall 2018,School F,SYW,INTERNATIONAL,Direct Entry,5,3

Fall 2018,School F,ZSW,DOMESTIC,Direct Entry,16,11

Fall 2018,School F,ZSW,DOMESTIC,Transfer,9,7

Fall 2018,School F,ZSW,INTERNATIONAL,Direct Entry,1,0

Fall 2018,School G,IWU,DOMESTIC,Direct Entry,12,8

Fall 2018,School G,IWU,DOMESTIC,Transfer,6,5

Fall 2018,School G,IWU,INTERNATIONAL,Direct Entry,3,3

Fall 2019,School A,CTD,DOMESTIC,Direct Entry,108,87

Fall 2019,School A,CTD,DOMESTIC,Foundation,41,34

Fall 2019,School A,CTD,DOMESTIC,Transfer,14,9

Fall 2019,School A,CTD,INTERNATIONAL,Direct Entry,9,8

Fall 2019,School A,DIB,DOMESTIC,Direct Entry,13,11

Fall 2019,School A,DIB,DOMESTIC,Transfer,10,8

Fall 2019,School A,DIB,INTERNATIONAL,Direct Entry,14,14

Fall 2019,School A,DIB,INTERNATIONAL,Transfer,6,5

Fall 2019,School A,HBP,DOMESTIC,Direct Entry,253,184

Fall 2019,School A,HBP,DOMESTIC,Foundation,112,83

Fall 2019,School A,HBP,DOMESTIC,Transfer,38,22

Fall 2019,School A,HBP,INTERNATIONAL,Direct Entry,126,117

Fall 2019,School A,HBP,INTERNATIONAL,Foundation,37,33

Fall 2019,School A,HBP,INTERNATIONAL,Transfer,11,8

Fall 2019,School A,XJQ,DOMESTIC,Direct Entry,17,11

Fall 2019,School A,XJQ,DOMESTIC,Transfer,6,3

Fall 2019,School A,XJQ,INTERNATIONAL,Direct Entry,1,1

Fall 2019,School A,YDD,DOMESTIC,Direct Entry,13,11

Fall 2019,School A,YDD,DOMESTIC,Transfer,7,5

Fall 2019,School A,YDD,INTERNATIONAL,Direct Entry,36,34

Fall 2019,School A,YDD,INTERNATIONAL,Foundation,10,10

Fall 2019,School A,YDD,INTERNATIONAL,Transfer,2,1

Fall 2019,School A,ZVS,DOMESTIC,Direct Entry,1,1

Fall 2019,School A,ZVS,INTERNATIONAL,Direct Entry,4,4

Fall 2019,School B,AEX,DOMESTIC,Direct Entry,13,11

Fall 2019,School B,AEX,DOMESTIC,Foundation,8,8

Fall 2019,School B,AEX,DOMESTIC,Transfer,1,0

Fall 2019,School B,AEX,INTERNATIONAL,Direct Entry,3,3

Fall 2019,School B,CCH,DOMESTIC,Direct Entry,4,1

Fall 2019,School B,CCH,DOMESTIC,Transfer,3,1

Fall 2019,School B,DLF,DOMESTIC,Direct Entry,45,39

Fall 2019,School B,DLF,DOMESTIC,Foundation,15,13

Fall 2019,School B,DLF,DOMESTIC,Transfer,6,3

Fall 2019,School B,DLF,INTERNATIONAL,Direct Entry,4,3

Fall 2019,School B,ENR,DOMESTIC,Direct Entry,15,15

Fall 2019,School B,ENR,DOMESTIC,Transfer,7,6

Fall 2019,School B,ENR,INTERNATIONAL,Direct Entry,1,1

Fall 2019,School B,ENR,INTERNATIONAL,Transfer,2,1

Fall 2019,School B,FJC,DOMESTIC,Direct Entry,11,9

Fall 2019,School B,FJC,DOMESTIC,Foundation,7,7

Fall 2019,School B,FJC,DOMESTIC,Transfer,1,0

Fall 2019,School B,FJC,INTERNATIONAL,Direct Entry,1,0

Fall 2019,School B,FJC,INTERNATIONAL,Transfer,1,0

Fall 2019,School B,GIZ,DOMESTIC,Direct Entry,21,16

Fall 2019,School B,GIZ,DOMESTIC,Transfer,10,6

Fall 2019,School B,GIZ,INTERNATIONAL,Direct Entry,11,10

Fall 2019,School B,GIZ,INTERNATIONAL,Transfer,5,4

Fall 2019,School B,JQP,DOMESTIC,Direct Entry,61,50

Fall 2019,School B,JQP,DOMESTIC,Foundation,21,17

Fall 2019,School B,JQP,DOMESTIC,Transfer,8,5

Fall 2019,School B,JQP,INTERNATIONAL,Direct Entry,9,7

Fall 2019,School B,NSU,DOMESTIC,Direct Entry,4,4

Fall 2019,School B,UQU,DOMESTIC,Direct Entry,10,7

Fall 2019,School B,UQU,DOMESTIC,Transfer,7,5

Fall 2019,School B,UQU,INTERNATIONAL,Direct Entry,6,5

Fall 2019,School B,XEM,DOMESTIC,Direct Entry,50,44

Fall 2019,School B,XEM,DOMESTIC,Foundation,15,13

Fall 2019,School B,XEM,DOMESTIC,Transfer,3,1

Fall 2019,School B,XEM,INTERNATIONAL,Direct Entry,5,5

Fall 2019,School C,AFX,DOMESTIC,Direct Entry,31,25

Fall 2019,School C,AFX,DOMESTIC,Foundation,7,6

Fall 2019,School C,AFX,DOMESTIC,Transfer,2,1

Fall 2019,School C,AFX,INTERNATIONAL,Direct Entry,7,7

Fall 2019,School C,CQK,DOMESTIC,Direct Entry,37,29

Fall 2019,School C,CQK,DOMESTIC,Transfer,11,8

Fall 2019,School C,CQK,INTERNATIONAL,Direct Entry,4,3

Fall 2019,School C,FOR,DOMESTIC,Direct Entry,17,14

Fall 2019,School C,FOR,DOMESTIC,Foundation,4,4

Fall 2019,School C,FOR,DOMESTIC,Transfer,1,0

Fall 2019,School C,FOR,INTERNATIONAL,Direct Entry,4,3

Fall 2019,School C,FOR,INTERNATIONAL,Transfer,3,2

Fall 2019,School C,HIQ,DOMESTIC,Direct Entry,13,11

Fall 2019,School C,HIQ,DOMESTIC,Transfer,7,6

Fall 2019,School C,HIQ,INTERNATIONAL,Direct Entry,1,1

Fall 2019,School C,LBR,DOMESTIC,Direct Entry,16,12

Fall 2019,School C,LBR,DOMESTIC,Transfer,9,6

Fall 2019,School C,LBR,INTERNATIONAL,Direct Entry,3,3

Fall 2019,School C,NOS,DOMESTIC,Direct Entry,19,14

Fall 2019,School C,NOS,DOMESTIC,Transfer,12,8

Fall 2019,School C,NOS,INTERNATIONAL,Direct Entry,9,8

Fall 2019,School C,UVZ,DOMESTIC,Direct Entry,30,28

Fall 2019,School C,UVZ,DOMESTIC,Transfer,13,11

Fall 2019,School C,UVZ,INTERNATIONAL,Direct Entry,2,2

Fall 2019,School C,YXQ,DOMESTIC,Direct Entry,34,29

Fall 2019,School C,YXQ,DOMESTIC,Foundation,18,16

Fall 2019,School C,YXQ,DOMESTIC,Transfer,4,2

Fall 2019,School D,CMX,DOMESTIC,Direct Entry,17,16

Fall 2019,School D,CMX,DOMESTIC,Transfer,11,10

Fall 2019,School D,HPA,DOMESTIC,Direct Entry,26,26

Fall 2019,School D,HPA,DOMESTIC,Transfer,14,13

Fall 2019,School D,IAU,DOMESTIC,Direct Entry,10,8

Fall 2019,School D,IAU,DOMESTIC,Transfer,7,5

Fall 2019,School D,JRA,DOMESTIC,Direct Entry,34,26

Fall 2019,School D,JRA,DOMESTIC,Foundation,17,12

Fall 2019,School D,JRA,DOMESTIC,Transfer,3,1

Fall 2019,School D,JVH,DOMESTIC,Direct Entry,46,40

Fall 2019,School D,JVH,DOMESTIC,Foundation,13,12

Fall 2019,School D,JVH,DOMESTIC,Transfer,2,1

Fall 2019,School D,JVH,INTERNATIONAL,Direct Entry,4,4

Fall 2019,School D,KUY,DOMESTIC,Direct Entry,87,57

Fall 2019,School D,KUY,DOMESTIC,Foundation,44,29

Fall 2019,School D,KUY,DOMESTIC,Transfer,10,5

Fall 2019,School D,KUY,INTERNATIONAL,Direct Entry,1,1

Fall 2019,School D,LBW,DOMESTIC,Direct Entry,21,21

Fall 2019,School D,LBW,DOMESTIC,Transfer,10,9

Fall 2019,School D,MFQ,DOMESTIC,Direct Entry,9,8

Fall 2019,School D,MFQ,DOMESTIC,Transfer,6,5

Fall 2019,School D,MFQ,INTERNATIONAL,Direct Entry,1,1

Fall 2019,School D,RFI,DOMESTIC,Direct Entry,10,8

Fall 2019,School D,RFI,DOMESTIC,Transfer,6,5

Fall 2019,School D,RNV,DOMESTIC,Direct Entry,12,11

Fall 2019,School D,RNV,DOMESTIC,Foundation,5,5

Fall 2019,School D,RNV,DOMESTIC,Transfer,1,0

Fall 2019,School D,THM,DOMESTIC,Direct Entry,20,19

Fall 2019,School D,THM,DOMESTIC,Foundation,5,5

Fall 2019,School D,THM,DOMESTIC,Transfer,1,0

Fall 2019,School D,UKS,DOMESTIC,Direct Entry,11,9

Fall 2019,School D,UKS,DOMESTIC,Transfer,4,3

Fall 2019,School D,XLL,DOMESTIC,Direct Entry,23,21

Fall 2019,School D,XLL,DOMESTIC,Transfer,9,8

Fall 2019,School D,ZCU,DOMESTIC,Direct Entry,14,13

Fall 2019,School E,EDB,DOMESTIC,Direct Entry,11,9

Fall 2019,School E,EDB,DOMESTIC,Transfer,4,3

Fall 2019,School E,EDB,INTERNATIONAL,Direct Entry,1,1

Fall 2019,School E,FCT,DOMESTIC,Direct Entry,8,8

Fall 2019,School E,FCT,DOMESTIC,Transfer,4,3

Fall 2019,School E,FCT,INTERNATIONAL,Direct Entry,2,2

Fall 2019,School E,LOC,DOMESTIC,Direct Entry,16,11

Fall 2019,School E,LOC,DOMESTIC,Foundation,5,5

Fall 2019,School E,LOC,DOMESTIC,Transfer,2,1

Fall 2019,School E,LOC,INTERNATIONAL,Direct Entry,1,1

Fall 2019,School E,NGF,DOMESTIC,Direct Entry,37,31

Fall 2019,School E,NGF,DOMESTIC,Foundation,14,12

Fall 2019,School E,NGF,DOMESTIC,Transfer,4,2

Fall 2019,School E,NGF,INTERNATIONAL,Direct Entry,3,3

Fall 2019,School E,NGF,INTERNATIONAL,Transfer,2,1

Fall 2019,School E,PEW,DOMESTIC,Direct Entry,37,30

Fall 2019,School E,PEW,DOMESTIC,Transfer,11,8

Fall 2019,School E,PEW,INTERNATIONAL,Direct Entry,6,6

Fall 2019,School E,UQB,DOMESTIC,Direct Entry,12,11

Fall 2019,School E,UQB,INTERNATIONAL,Direct Entry,2,1

Fall 2019,School E,UQB,INTERNATIONAL,Transfer,2,1

Fall 2019,School F,EGJ,DOMESTIC,Direct Entry,22,21

Fall 2019,School F,EGJ,DOMESTIC,Transfer,9,8

Fall 2019,School F,EGJ,INTERNATIONAL,Direct Entry,1,1

Fall 2019,School F,KAU,DOMESTIC,Direct Entry,14,13

Fall 2019,School F,KAU,INTERNATIONAL,Direct Entry,8,8

Fall 2019,School F,KOK,DOMESTIC,Direct Entry,10,8

Fall 2019,School F,KOK,DOMESTIC,Transfer,6,5

Fall 2019,School F,KOK,INTERNATIONAL,Direct Entry,3,3

Fall 2019,School F,LNT,DOMESTIC,Direct Entry,18,14

Fall 2019,School F,LNT,DOMESTIC,Foundation,4,4

Fall 2019,School F,LNT,DOMESTIC,Transfer,1,0

Fall 2019,School F,PFB,DOMESTIC,Direct Entry,193,158

Fall 2019,School F,PFB,DOMESTIC,Foundation,65,49

Fall 2019,School F,PFB,DOMESTIC,Transfer,16,10

Fall 2019,School F,PFB,INTERNATIONAL,Direct Entry,24,23

Fall 2019,School F,PFB,INTERNATIONAL,Transfer,12,11

Fall 2019,School F,RZP,DOMESTIC,Direct Entry,40,37

Fall 2019,School F,RZP,DOMESTIC,Foundation,10,9

Fall 2019,School F,RZP,DOMESTIC,Transfer,2,1

Fall 2019,School F,RZP,INTERNATIONAL,Direct Entry,5,4

Fall 2019,School F,SYW,DOMESTIC,Direct Entry,19,14

Fall 2019,School F,SYW,DOMESTIC,Transfer,6,3

Fall 2019,School F,SYW,INTERNATIONAL,Direct Entry,5,3

Fall 2019,School F,SYW,INTERNATIONAL,Transfer,2,1

Fall 2019,School F,ZSW,DOMESTIC,Direct Entry,14,8

Fall 2019,School F,ZSW,DOMESTIC,Transfer,6,3

Fall 2019,School F,ZSW,INTERNATIONAL,Direct Entry,3,3

Fall 2019,School G,IWU,DOMESTIC,Direct Entry,11,4

Fall 2019,School G,IWU,DOMESTIC,Transfer,7,3

Fall 2019,School G,IWU,INTERNATIONAL,Direct Entry,1,1

Fall 2020,School A,CTD,DOMESTIC,Direct Entry,163,125

Fall 2020,School A,CTD,DOMESTIC,Foundation,57,46

Fall 2020,School A,CTD,DOMESTIC,Transfer,23,14

Fall 2020,School A,CTD,INTERNATIONAL,Direct Entry,14,10

Fall 2020,School A,DIB,DOMESTIC,Direct Entry,10,4

Fall 2020,School A,DIB,INTERNATIONAL,Direct Entry,10,7

Fall 2020,School A,DIB,INTERNATIONAL,Transfer,4,3

Fall 2020,School A,HBP,DOMESTIC,Direct Entry,257,191

Fall 2020,School A,HBP,DOMESTIC,Foundation,52,40

Fall 2020,School A,HBP,DOMESTIC,Transfer,17,9

Fall 2020,School A,HBP,INTERNATIONAL,Direct Entry,89,77

Fall 2020,School A,HBP,INTERNATIONAL,Foundation,38,33

Fall 2020,School A,HBP,INTERNATIONAL,Transfer,14,10

Fall 2020,School A,XJQ,DOMESTIC,Direct Entry,15,12

Fall 2020,School A,XJQ,DOMESTIC,Foundation,6,6

Fall 2020,School A,XJQ,DOMESTIC,Transfer,1,0

Fall 2020,School A,YDD,DOMESTIC,Direct Entry,18,15

Fall 2020,School A,YDD,DOMESTIC,Transfer,6,4

Fall 2020,School A,YDD,INTERNATIONAL,Direct Entry,18,15

Fall 2020,School A,YDD,INTERNATIONAL,Transfer,10,8

Fall 2020,School B,AEX,DOMESTIC,Direct Entry,13,11

Fall 2020,School B,AEX,DOMESTIC,Transfer,7,6

Fall 2020,School B,CCH,DOMESTIC,Direct Entry,3,1

Fall 2020,School B,CCH,DOMESTIC,Transfer,2,1

Fall 2020,School B,DLF,DOMESTIC,Direct Entry,52,43

Fall 2020,School B,DLF,DOMESTIC,Foundation,18,16

Fall 2020,School B,DLF,DOMESTIC,Transfer,3,1

Fall 2020,School B,DLF,INTERNATIONAL,Direct Entry,2,2

Fall 2020,School B,DLF,INTERNATIONAL,Transfer,1,0

Fall 2020,School B,ENR,DOMESTIC,Direct Entry,15,14

Fall 2020,School B,ENR,DOMESTIC,Foundation,4,4

Fall 2020,School B,ENR,DOMESTIC,Transfer,1,0

Fall 2020,School B,ENR,INTERNATIONAL,Direct Entry,2,2

Fall 2020,School B,ENR,INTERNATIONAL,Transfer,1,0

Fall 2020,School B,FJC,DOMESTIC,Direct Entry,16,12

Fall 2020,School B,FJC,DOMESTIC,Transfer,6,4

Fall 2020,School B,FJC,INTERNATIONAL,Direct Entry,2,2

Fall 2020,School B,GIZ,DOMESTIC,Direct Entry,24,16

Fall 2020,School B,GIZ,DOMESTIC,Transfer,14,8

Fall 2020,School B,GIZ,INTERNATIONAL,Direct Entry,6,5

Fall 2020,School B,JQP,DOMESTIC,Direct Entry,63,53

Fall 2020,School B,JQP,DOMESTIC,Foundation,13,11

Fall 2020,School B,JQP,DOMESTIC,Transfer,4,2

Fall 2020,School B,JQP,INTERNATIONAL,Direct Entry,3,2

Fall 2020,School B,NSU,DOMESTIC,Direct Entry,2,2

Fall 2020,School B,UQU,DOMESTIC,Direct Entry,15,12

Fall 2020,School B,UQU,DOMESTIC,Transfer,10,7

Fall 2020,School B,XEM,DOMESTIC,Direct Entry,36,34

Fall 2020,School B,XEM,DOMESTIC,Foundation,13,13

Fall 2020,School B,XEM,DOMESTIC,Transfer,3,1

Fall 2020,School B,XEM,INTERNATIONAL,Direct Entry,8,8

Fall 2020,School C,AFX,DOMESTIC,Direct Entry,27,18

Fall 2020,School C,AFX,DOMESTIC,Foundation,5,4

Fall 2020,School C,AFX,DOMESTIC,Transfer,2,1

Fall 2020,School C,AFX,INTERNATIONAL,Direct Entry,3,2

Fall 2020,School C,CQK,DOMESTIC,Direct Entry,28,20

Fall 2020,School C,CQK,DOMESTIC,Transfer,14,9

Fall 2020,School C,CQK,INTERNATIONAL,Direct Entry,1,1

Fall 2020,School C,CQK,INTERNATIONAL,Transfer,2,1

Fall 2020,School C,FOR,DOMESTIC,Direct Entry,20,14

Fall 2020,School C,FOR,DOMESTIC,Transfer,7,5

Fall 2020,School C,FOR,INTERNATIONAL,Direct Entry,1,1

Fall 2020,School C,HIQ,DOMESTIC,Direct Entry,13,8

Fall 2020,School C,HIQ,DOMESTIC,Foundation,5,4

Fall 2020,School C,HIQ,DOMESTIC,Transfer,1,0

Fall 2020,School C,HIQ,INTERNATIONAL,Direct Entry,1,1

Fall 2020,School C,LBR,DOMESTIC,Direct Entry,14,9

Fall 2020,School C,LBR,DOMESTIC,Transfer,9,6

Fall 2020,School C,LBR,INTERNATIONAL,Direct Entry,2,2

Fall 2020,School C,NOS,DOMESTIC,Direct Entry,17,12

Fall 2020,School C,NOS,DOMESTIC,Transfer,9,5

Fall 2020,School C,NOS,INTERNATIONAL,Direct Entry,2,2

Fall 2020,School C,UVZ,DOMESTIC,Direct Entry,33,26

Fall 2020,School C,UVZ,DOMESTIC,Transfer,10,6

Fall 2020,School C,UVZ,INTERNATIONAL,Direct Entry,1,0

Fall 2020,School C,YXQ,DOMESTIC,Direct Entry,31,25

Fall 2020,School C,YXQ,DOMESTIC,Transfer,9,6

Fall 2020,School C,YXQ,INTERNATIONAL,Direct Entry,2,2

Fall 2020,School D,CMX,DOMESTIC,Direct Entry,23,23

Fall 2020,School D,CMX,DOMESTIC,Foundation,13,13

Fall 2020,School D,CMX,DOMESTIC,Transfer,3,1

Fall 2020,School D,HPA,DOMESTIC,Direct Entry,18,18

Fall 2020,School D,HPA,DOMESTIC,Transfer,12,11

Fall 2020,School D,IAU,DOMESTIC,Direct Entry,13,11

Fall 2020,School D,IAU,DOMESTIC,Transfer,5,4

Fall 2020,School D,JRA,DOMESTIC,Direct Entry,48,37

Fall 2020,School D,JRA,DOMESTIC,Foundation,18,15

Fall 2020,School D,JRA,DOMESTIC,Transfer,3,1

Fall 2020,School D,JVH,DOMESTIC,Direct Entry,34,25

Fall 2020,School D,JVH,DOMESTIC,Foundation,18,14

Fall 2020,School D,JVH,DOMESTIC,Transfer,5,2

Fall 2020,School D,KUY,DOMESTIC,Direct Entry,79,60

Fall 2020,School D,KUY,DOMESTIC,Foundation,35,26

Fall 2020,School D,KUY,DOMESTIC,Transfer,12,7

Fall 2020,School D,LBW,DOMESTIC,Direct Entry,22,20

Fall 2020,School D,LBW,DOMESTIC,Transfer,8,7

Fall 2020,School D,LBW,INTERNATIONAL,Direct Entry,1,1

Fall 2020,School D,MFQ,DOMESTIC,Direct Entry,10,10

Fall 2020,School D,MFQ,DOMESTIC,Transfer,5,4

Fall 2020,School D,RFI,DOMESTIC,Direct Entry,24,21

Fall 2020,School D,RFI,DOMESTIC,Transfer,17,14

Fall 2020,School D,RFI,INTERNATIONAL,Direct Entry,2,2

Fall 2020,School D,RNV,DOMESTIC,Direct Entry,12,10

Fall 2020,School D,RNV,DOMESTIC,Foundation,4,4

Fall 2020,School D,RNV,DOMESTIC,Transfer,1,0

Fall 2020,School D,THM,DOMESTIC,Direct Entry,24,23

Fall 2020,School D,THM,DOMESTIC,Transfer,8,7

Fall 2020,School D,UKS,DOMESTIC,Direct Entry,11,11

Fall 2020,School D,XLL,DOMESTIC,Direct Entry,17,16

Fall 2020,School D,XLL,DOMESTIC,Transfer,12,10

Fall 2020,School D,XLL,INTERNATIONAL,Direct Entry,1,1

Fall 2020,School D,ZCU,DOMESTIC,Direct Entry,14,13

Fall 2020,School E,EDB,DOMESTIC,Direct Entry,10,9

Fall 2020,School E,FCT,DOMESTIC,Direct Entry,10,6

Fall 2020,School E,FCT,DOMESTIC,Transfer,3,1

Fall 2020,School E,FCT,INTERNATIONAL,Direct Entry,1,1

Fall 2020,School E,LOC,DOMESTIC,Direct Entry,12,8

Fall 2020,School E,LOC,DOMESTIC,Foundation,5,4

Fall 2020,School E,LOC,DOMESTIC,Transfer,1,0

Fall 2020,School E,LOC,INTERNATIONAL,Direct Entry,1,1

Fall 2020,School E,NGF,DOMESTIC,Direct Entry,28,22

Fall 2020,School E,NGF,DOMESTIC,Transfer,14,10

Fall 2020,School E,NGF,INTERNATIONAL,Direct Entry,2,2

Fall 2020,School E,PEW,DOMESTIC,Direct Entry,23,19

Fall 2020,School E,PEW,DOMESTIC,Foundation,9,8

Fall 2020,School E,PEW,DOMESTIC,Transfer,2,1

Fall 2020,School E,PEW,INTERNATIONAL,Direct Entry,3,1

Fall 2020,School E,UQB,DOMESTIC,Direct Entry,10,5

Fall 2020,School E,UQB,INTERNATIONAL,Direct Entry,1,0

Fall 2020,School F,EGJ,DOMESTIC,Direct Entry,19,12

Fall 2020,School F,EGJ,DOMESTIC,Transfer,13,8

Fall 2020,School F,EGJ,INTERNATIONAL,Direct Entry,1,1

Fall 2020,School F,KAU,DOMESTIC,Direct Entry,7,5

Fall 2020,School F,KAU,DOMESTIC,Transfer,4,3

Fall 2020,School F,KAU,INTERNATIONAL,Direct Entry,1,1

Fall 2020,School F,KOK,DOMESTIC,Direct Entry,11,9

Fall 2020,School F,LNT,DOMESTIC,Direct Entry,15,9

Fall 2020,School F,LNT,DOMESTIC,Transfer,5,2

Fall 2020,School F,PFB,DOMESTIC,Direct Entry,151,120

Fall 2020,School F,PFB,DOMESTIC,Foundation,44,36

Fall 2020,School F,PFB,DOMESTIC,Transfer,8,4

Fall 2020,School F,PFB,INTERNATIONAL,Direct Entry,14,11

Fall 2020,School F,PFB,INTERNATIONAL,Transfer,8,6

Fall 2020,School F,RZP,DOMESTIC,Direct Entry,19,17

Fall 2020,School F,RZP,DOMESTIC,Transfer,11,9

Fall 2020,School F,RZP,INTERNATIONAL,Direct Entry,5,4

Fall 2020,School F,SYW,DOMESTIC,Direct Entry,21,18

Fall 2020,School F,SYW,DOMESTIC,Transfer,8,6

Fall 2020,School F,SYW,INTERNATIONAL,Direct Entry,3,3

Fall 2020,School F,ZSW,DOMESTIC,Direct Entry,14,10

Fall 2020,School F,ZSW,DOMESTIC,Transfer,8,5

Fall 2020,School G,IWU,DOMESTIC,Direct Entry,13,6

Fall 2020,School G,IWU,DOMESTIC,Transfer,6,3

Fall 2020,School G,IWU,INTERNATIONAL,Direct Entry,3,2

Fall 2021,School A,CTD,DOMESTIC,Direct Entry,197,139

Fall 2021,School A,CTD,DOMESTIC,Foundation,46,32

Fall 2021,School A,CTD,DOMESTIC,Transfer,10,5

Fall 2021,School A,CTD,INTERNATIONAL,Direct Entry,9,9

Fall 2021,School A,DIB,DOMESTIC,Direct Entry,14,7

Fall 2021,School A,DIB,INTERNATIONAL,Direct Entry,11,10

Fall 2021,School A,DIB,INTERNATIONAL,Transfer,5,4

Fall 2021,School A,HBP,DOMESTIC,Direct Entry,241,175

Fall 2021,School A,HBP,DOMESTIC,Foundation,56,36

Fall 2021,School A,HBP,DOMESTIC,Transfer,17,8

Fall 2021,School A,HBP,INTERNATIONAL,Direct Entry,103,90

Fall 2021,School A,HBP,INTERNATIONAL,Foundation,51,42

Fall 2021,School A,HBP,INTERNATIONAL,Transfer,16,10

Fall 2021,School A,REJ,DOMESTIC,Direct Entry,20,16

Fall 2021,School A,REJ,DOMESTIC,Foundation,10,9

Fall 2021,School A,REJ,DOMESTIC,Transfer,1,0

Fall 2021,School A,REJ,INTERNATIONAL,Direct Entry,4,4

Fall 2021,School A,REJ,INTERNATIONAL,Transfer,4,3

Fall 2021,School A,XJQ,DOMESTIC,Direct Entry,18,15

Fall 2021,School A,XJQ,DOMESTIC,Transfer,5,4

